score genuine_cdf impostor_cdf
4.4445085295 0.0510204082 0.5931818182
4.4546662477 0.0510204082 0.5943181818
4.4824145266 0.0510204082 0.5954545455
4.5116083714 0.0510204082 0.5965909091
4.5173906462 0.0510204082 0.5977272727
4.5366864380 0.0530612245 0.5977272727
4.5372843814 0.0551020408 0.5977272727
4.5490816106 0.0551020408 0.5988636364
4.5527726271 0.0551020408 0.6000000000
4.5588192444 0.0551020408 0.6011363636
4.5708523588 0.0551020408 0.6022727273
4.5749329160 0.0551020408 0.6034090909
4.5871721185 0.0551020408 0.6045454545
4.6293138587 0.0551020408 0.6056818182
4.6421616742 0.0551020408 0.6068181818
4.6579061614 0.0551020408 0.6079545455
4.6661402191 0.0551020408 0.6090909091
4.6905609430 0.0551020408 0.6102272727
4.6935728503 0.0551020408 0.6113636364
4.7080202728 0.0551020408 0.6125000000
4.7233231849 0.0551020408 0.6136363636
4.7480974985 0.0551020408 0.6147727273
4.7484853033 0.0571428571 0.6147727273
4.7737733719 0.0571428571 0.6159090909
4.7745665340 0.0571428571 0.6170454545
4.7814355574 0.0571428571 0.6181818182
4.7821551252 0.0571428571 0.6193181818
4.7829503762 0.0571428571 0.6204545455
4.8436221699 0.0571428571 0.6215909091
4.8506524450 0.0591836735 0.6215909091
4.8542236935 0.0591836735 0.6227272727
4.8601591961 0.0591836735 0.6238636364
4.8615089743 0.0591836735 0.6250000000
4.8622820112 0.0591836735 0.6261363636
4.8655366190 0.0591836735 0.6272727273
4.8831057223 0.0591836735 0.6284090909
4.9145753025 0.0591836735 0.6295454545
4.9419419644 0.0591836735 0.6306818182
4.9627750357 0.0591836735 0.6318181818
4.9801788082 0.0612244898 0.6318181818
5.0037099735 0.0612244898 0.6329545455
5.0176611353 0.0612244898 0.6340909091
5.0243878435 0.0612244898 0.6352272727
5.0262901561 0.0632653061 0.6352272727
5.0622305216 0.0632653061 0.6363636364
5.0745631662 0.0653061224 0.6363636364
5.0746634822 0.0673469388 0.6363636364
5.0772997493 0.0673469388 0.6375000000
5.0901697513 0.0673469388 0.6386363636
5.0930394087 0.0673469388 0.6397727273
5.1169267854 0.0693877551 0.6397727273
5.1193478312 0.0714285714 0.6397727273
5.1309031530 0.0714285714 0.6409090909
5.1506478162 0.0734693878 0.6409090909
5.1595652516 0.0734693878 0.6420454545
5.1993750217 0.0734693878 0.6431818182
5.2029887197 0.0755102041 0.6431818182
5.2101011300 0.0755102041 0.6443181818
5.2192061003 0.0755102041 0.6454545455
5.2263704390 0.0755102041 0.6465909091
5.2689667129 0.0755102041 0.6477272727
5.2815932314 0.0755102041 0.6488636364
5.2850215002 0.0775510204 0.6488636364
5.3053667928 0.0775510204 0.6500000000
5.3473574461 0.0775510204 0.6511363636
5.3525203162 0.0775510204 0.6522727273
5.3835317687 0.0775510204 0.6534090909
5.3869734924 0.0775510204 0.6545454545
5.4051357074 0.0775510204 0.6556818182
5.4268543756 0.0775510204 0.6568181818
5.4363470153 0.0775510204 0.6579545455
5.4519762257 0.0775510204 0.6590909091
5.5116439436 0.0795918367 0.6590909091
5.5409838279 0.0795918367 0.6602272727
5.5526497125 0.0795918367 0.6613636364
5.5598371096 0.0795918367 0.6625000000
5.5684920906 0.0795918367 0.6636363636
5.5745583299 0.0795918367 0.6647727273
5.5833694860 0.0816326531 0.6647727273
5.5939984428 0.0816326531 0.6659090909
5.5942639595 0.0816326531 0.6670454545
5.5942813851 0.0836734694 0.6670454545
5.5950827719 0.0836734694 0.6681818182
5.6137576291 0.0857142857 0.6681818182
5.6334416943 0.0857142857 0.6693181818
5.6566677766 0.0857142857 0.6704545455
5.7037692712 0.0857142857 0.6715909091
5.7119583782 0.0857142857 0.6727272727
